codice_circe;nword;cluster_id;testo;label_finale
1111;2;1111_2_1;cereali coltivazioni;cereali coltivazione
1111;2;1111_2_1;cereali coltivazione;cereali coltivazione
1111;2;1111_2_2;coltivazioni cereali;coltivazioni cereali
1111;2;1111_2_2;coltivazione cereali;coltivazioni cereali
1111;2;1111_2_2;coltivazioni mais;coltivazioni cereali
1111;2;1111_2_3;sorgo coltivazione;sorgo coltivazione
1111;2;1111_2_4;coltivazione avena;coltivazione avena
1111;2;1111_2_4;coltivazione mais;coltivazione avena
1111;2;1111_2_5;coltivazione orzo;coltivazione orzo
1111;2;1111_2_6;avena coltivazione;avena coltivazione
1111;3;1111_3_1;coltivazione di orzo;coltivazione di orzo
1111;3;1111_3_1;coltivazione di mais;coltivazione di orzo
1111;3;1111_3_2;coltivazioni di mais;coltivazione cereali mais
1111;3;1111_3_2;coltivazione cereali mais;coltivazione cereali mais
1111;3;1111_3_2;coltivazioni di cereali;coltivazione cereali mais
1111;3;1111_3_3;coltivazione cereali geerale;coltivazione cereali oleaginose
1111;3;1111_3_3;coltivazione cereali ulliveti;coltivazione cereali oleaginose
1111;3;1111_3_3;coltivazione cereali oleaginose;coltivazione cereali oleaginose
1111;3;1111_3_3;coltivazione d cereali;coltivazione cereali oleaginose
1111;3;1111_3_4;coltivazione dei cereali;coltivazione uvaolivo cereali
1111;3;1111_3_4;coltivazione di cereali;coltivazione uvaolivo cereali
1111;3;1111_3_4;coltivazione msta cereali;coltivazione uvaolivo cereali
1111;3;1111_3_4;coltivazione ni cereali;coltivazione uvaolivo cereali
1111;3;1111_3_4;coltivazione di avena;coltivazione uvaolivo cereali
1111;3;1111_3_4;coltivazione uvaolivo cereali;coltivazione uvaolivo cereali
1111;3;1111_3_5;coltivazione orzo maltato;coltivazione orzo maltato
1111;3;1111_3_6;coltivazione cereali misuti;coltivazione cereali misuti
1111;4;1111_4_1;coltivazione di grano duroi;coltivazione di grano duroi
1111;4;1111_4_2;coltivazioni iste di cereali;coltivazioni agricole di cereali
1111;4;1111_4_2;coltivazione di cereali esc;coltivazioni agricole di cereali
1111;4;1111_4_2;coltivazioni agricole di cereali;coltivazioni agricole di cereali
1111;4;1111_4_2;coltivazione di cereali e;coltivazioni agricole di cereali
1111;4;1111_4_2;coltivazione di cereali escl;coltivazioni agricole di cereali
