codice_circe;nword;cluster_id;testo;label_finale
1111;2;1111_2_1;coltivazioni mais;coltivazioni cereali
1111;2;1111_2_1;coltivazioni cereali;coltivazioni cereali
1111;2;1111_2_1;coltivazione mais;coltivazioni cereali
1111;2;1111_2_2;cereali coltivazione;cereali coltivazione
1111;2;1111_2_2;cereali coltivazioni;cereali coltivazione
1111;2;1111_2_3;avena coltivazione;avena coltivazione
1111;2;1111_2_4;coltivazione orzo;coltivazione orzo
1111;2;1111_2_5;coltivazione avena;coltivazione avena
1111;2;1111_2_6;sorgo coltivazione;sorgo coltivazione
1111;2;1111_2_7;coltivazione cereali;coltivazione cereali
1111;3;1111_3_1;coltivazione di cereali;coltivazione uvaolivo cereali
1111;3;1111_3_1;coltivazione uvaolivo cereali;coltivazione uvaolivo cereali
1111;3;1111_3_1;coltivazione cereali misuti;coltivazione uvaolivo cereali
1111;3;1111_3_1;coltivazione msta cereali;coltivazione uvaolivo cereali
1111;3;1111_3_1;coltivazione dei cereali;coltivazione uvaolivo cereali
1111;3;1111_3_1;coltivazione di mais;coltivazione uvaolivo cereali
1111;3;1111_3_1;coltivazione di avena;coltivazione uvaolivo cereali
1111;3;1111_3_1;coltivazione ni cereali;coltivazione uvaolivo cereali
1111;3;1111_3_1;coltivazione d cereali;coltivazione uvaolivo cereali
1111;3;1111_3_1;coltivazioni di cereali;coltivazione uvaolivo cereali
1111;3;1111_3_1;coltivazione cereali mais;coltivazione uvaolivo cereali
1111;3;1111_3_2;coltivazione cereali oleaginose;coltivazione cereali oleaginose
1111;3;1111_3_2;coltivazione cereali ulliveti;coltivazione cereali oleaginose
1111;3;1111_3_2;coltivazione cereali geerale;coltivazione cereali oleaginose
1111;3;1111_3_3;coltivazioni di mais;coltivazioni di mais
1111;3;1111_3_4;coltivazione di orzo;coltivazione di orzo
1111;3;1111_3_5;coltivazione orzo maltato;coltivazione orzo maltato
1111;4;1111_4_1;coltivazione di cereali esclus;coltivazione cereali escluso riso
1111;4;1111_4_1;coltivazione di cereali escluso;coltivazione cereali escluso riso
1111;4;1111_4_1;coltivazione cereali escluso riso;coltivazione cereali escluso riso
1111;4;1111_4_1;coltivazione di cereali escl;coltivazione cereali escluso riso
1111;4;1111_4_1;coltivazione cereali escluso risp;coltivazione cereali escluso riso
1111;4;1111_4_1;coltivazione di cereali e;coltivazione cereali escluso riso
1111;4;1111_4_1;coltivazione di cereali esc;coltivazione cereali escluso riso
1111;4;1111_4_1;coltivazione di cereali esclu;coltivazione cereali escluso riso
1111;4;1111_4_2;coltivazioni agricole di cereali;coltivazioni agricole di cereali
1111;4;1111_4_2;coltivazioni iste di cereali;coltivazioni agricole di cereali
1111;4;1111_4_3;coltivazione di grano duroi;coltivazione di grano duroi
1111;4;1111_4_4;coltivazione cereali in genere;coltivazione cereali in genere
1111;5;1111_5_1;coltivazione di grano e cereali;coltivazione di grano e cereali
1111;5;1111_5_2;coltivazione di cereali escluso ri;coltivazioni di cereali escluso riso
1111;5;1111_5_2;coltivazioni di cereali escluso riso;coltivazioni di cereali escluso riso
1111;5;1111_5_2;coltivazione di cereali escluso riso;coltivazioni di cereali escluso riso
1111;5;1111_5_2;coltivazione cereali escluso il riso;coltivazioni di cereali escluso riso
1111;5;1111_5_2;coltivazione di cereali escluso r;coltivazioni di cereali escluso riso
1111;5;1111_5_2;coltivazione di cereali escluso ris;coltivazioni di cereali escluso riso
1111;5;1111_5_3;coltivazione di cereali e seminitivo;coltivazione di cereali e seminitivo
1111;5;1111_5_4;azienda agricola coltivazione di mais;azienda agricola coltivazione di mais
