codice_circe;nword;cluster_id;label_finale
1111;2;1111_2_1;coltivazioni cereali
1111;2;1111_2_2;cereali coltivazione
1111;2;1111_2_3;avena coltivazione
1111;2;1111_2_4;coltivazione orzo
1111;2;1111_2_5;coltivazione avena
1111;2;1111_2_6;sorgo coltivazione
1111;2;1111_2_7;coltivazione cereali
1111;3;1111_3_1;coltivazione uvaolivo cereali
1111;3;1111_3_2;coltivazione cereali oleaginose
1111;3;1111_3_3;coltivazioni di mais
1111;3;1111_3_4;coltivazione di orzo
1111;3;1111_3_5;coltivazione orzo maltato
1111;4;1111_4_1;coltivazione cereali escluso riso
1111;4;1111_4_2;coltivazioni agricole di cereali
1111;4;1111_4_3;coltivazione di grano duroi
1111;4;1111_4_4;coltivazione cereali in genere
1111;5;1111_5_1;coltivazione di grano e cereali
1111;5;1111_5_2;coltivazioni di cereali escluso riso
1111;5;1111_5_3;coltivazione di cereali e seminitivo
1111;5;1111_5_4;azienda agricola coltivazione di mais
1111;5;1111_5_5;coltivazione di cereali quali granomaisorzosegaleavenamiglio
1111;6;1111_6_1;coltivazione di cereali grano e orzo
1111;6;1111_6_2;coltivazione di cereali coltivazione di noccioleti
1111;6;1111_6_3;coltivazione di cereali escluso il risodal
1111;6;1111_6_4;coltivazione trasformazione e commercio dei cereali
1111;6;1111_6_5;coltivazione di grano duro e soia
1111;6;1111_6_6;attivita di coltivazione di cereali dal
1111;7;1111_7_1;coltivazione di cereali ed in particolare frumento
1111;7;1111_7_2;coltivazione di cereali con esclusione di riso
1112;2;1112_2_1;coltivazione soia
1112;3;1112_3_1;coltivazione di soia
1112;4;1112_4_1;produzione di semi oleosi
1112;5;1112_5_1;coltivazione di germogli di soia
1113;2;1113_2_1;coltivazioni legumi
1113;2;1113_2_2;legumi granella
1113;2;1113_2_3;coltivazione fagioli
1113;3;1113_3_1;legumi da granella
1113;3;1113_3_2;coltivazione di piselli
1113;3;1113_3_3;coltivazione legumi cereali
1113;3;1113_3_4;coltivazione cereali legumi
1113;3;1113_3_5;coltivazione di fave
1113;4;1113_4_1;coltivazione cereali e legumi
1113;4;1113_4_2;coltivazione legumi e cereali
1113;4;1113_4_3;coltivazione legume e cereali
1113;4;1113_4_4;coltivazione fave e pomodori
1113;5;1113_5_1;coltivazione agricole legumi e cereali
1113;5;1113_5_2;coltivatore coltivazione legumi e semi
1113;5;1113_5_3;coltivazione di fave e pomodori
1113;5;1113_5_4;coltivazione di cereali e legumi
1113;6;1113_6_1;coltivazione di mais orzo e fagioli
1113;6;1113_6_2;coltivazioni di cereali legumi da granella
1113;7;1113_7_1;dal coltivazione mista di ortaggi e legumi
1113;7;1113_7_2;coltivazione di cereali e legumi da granella
1114;3;1114_3_1;fieno orzo avena
1114;4;1114_4_1;coltivazione mais soia grano
1114;4;1114_4_2;coltivazione cereali e foraggio
1114;4;1114_4_3;coltivazione grano mais soia
1114;5;1114_5_1;azienda agricola cereali e soia
1114;5;1114_5_2;coltivazione di cereali e foraggio
1114;5;1114_5_3;agricola coltivazione cereali foraggi leguminose
1114;5;1114_5_4;coltivazione di cereali e foraggere
1114;5;1114_5_5;coltivazione cereali e semi oleosi
1114;5;1114_5_6;coltivazione di foraggio cereali legumi
1114;5;1114_5_7;coltivazione di cereali e tabacco
1114;6;1114_6_1;coltivazioni miste cereali e altri seminativi
1114;6;1114_6_2;coltivazione cereali semi oleosi e ortaggi
1114;6;1114_6_3;coltivazione di barbabietole foraggio e cereali
1114;6;1114_6_4;cereali legumi da granella semi oleosi
1114;6;1114_6_5;coltivazione mit di cereali altri seminativi
